conceptId,conceptName,vocabularyId,conceptSetName,target
313217,Atrial fibrillation,SNOMED,doi,Disease of interest
4275423,Supraventricular tachycardia,SNOMED,alternativeDiagnosis,Disease of interest
4089462,Ventricular premature complex,SNOMED,alternativeDiagnosis,Disease of interest
4103295,Ventricular tachycardia,SNOMED,alternativeDiagnosis,Disease of interest
316429,Premature beats,SNOMED,alternativeDiagnosis,Disease of interest
317302,Sinus node dysfunction,SNOMED,alternativeDiagnosis,Disease of interest
4091901,Aberrant premature complexes,SNOMED,alternativeDiagnosis,Disease of interest
315078,Palpitations,SNOMED,symptoms,Disease of interest
444070,Tachycardia,SNOMED,symptoms,Disease of interest
312437,Dyspnea,SNOMED,symptoms,Disease of interest
4223659,Fatigue,SNOMED,symptoms,Disease of interest
4223938,Dizziness,SNOMED,symptoms,Disease of interest
4090431,Discomfort,SNOMED,symptoms,Disease of interest
317376,Tachypnea,SNOMED,symptoms,Disease of interest
4305080,Abnormal breathing,SNOMED,symptoms,Disease of interest
4272240,Malaise,SNOMED,symptoms,Disease of interest
372448,Loss of consciousness,SNOMED,symptoms,Disease of interest
315078,Palpitations,SNOMED,symptoms,Alternative diagnoses
4223938,Dizziness,SNOMED,symptoms,Alternative diagnoses
4090431,Discomfort,SNOMED,symptoms,Alternative diagnoses
77670,Chest pain,SNOMED,symptoms,Alternative diagnoses
312437,Dyspnea,SNOMED,symptoms,Alternative diagnoses
4223659,Fatigue,SNOMED,symptoms,Alternative diagnoses
79908,Muscle weakness,SNOMED,symptoms,Alternative diagnoses
441542,Anxiety,SNOMED,symptoms,Alternative diagnoses
40546087,Depressed mood,SNOMED,symptoms,Alternative diagnoses
31967,Nausea,SNOMED,symptoms,Alternative diagnoses
4101344,Finding of vomiting,SNOMED,symptoms,Alternative diagnoses
372448,Loss of consciousness,SNOMED,symptoms,Alternative diagnoses
4272240,Malaise,SNOMED,symptoms,Alternative diagnoses
259153,Pain in throat,SNOMED,symptoms,Alternative diagnoses
4133643,Thoracic back pain,SNOMED,symptoms,Alternative diagnoses
442555,Breathing painful,SNOMED,symptoms,Alternative diagnoses
4114624,Coordination problem,SNOMED,symptoms,Alternative diagnoses
36714126,Difficulty walking,SNOMED,symptoms,Alternative diagnoses
441417,Incoordination,SNOMED,symptoms,Alternative diagnoses
4310235,Reduced mobility,SNOMED,symptoms,Alternative diagnoses
